id,s1,s41,s42,s43,s44,s45,a0,M1,a11012,a11022,a11032,a11042,a11052,a11062,a11072,a11082,a11092,a11102,a11112,a11122,a11132,a11142,a1301,a1302,a1303,a1304,a1305,a1306,a1307,a1308,a1309,a1310,a1311,a1312,a1313,a1314,a1401,a1402,a1403,a1404,a1405,a1406,a1407,a1408,a1409,a1410,a1411,a1412,a1413,a1414,a2,a301,a302,a4,a501,a6,a7a,a7b,a7c,a8a,a11,a1299,a121,a122,a123,a124,a125,a126,a127,a128,a13,a14,a15,a16,a17,a18,a21,a23,a24,a25,M2,a313,a31a,a31b,a69,a69,a71a,a7ab,a72,a75a,a81,b5
63,1,4,7,18,31,56,2015年10月4日,2,51,16,,,,,,,,,,,,,1,1,,,,,,,,,,,,,2,2,,,,,,,,,,,,,2,1973,42,1,1,1,4,4,1991,20000,82.900002,0,1,0,0,0,0,0,0,0,155,120,3,5,5,1,2,,9997,9997,4.21,2,6,5,4,3,1964,1998,4,20000,5,-8
67,1,4,7,18,31,56,2015年10月3日,1,47,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,1974,41,1,1,1,7,4,1996,40000,60,0,1,0,0,0,0,0,0,0,155,130,5,5,5,4,2,,9997,9997,2.57,3,5,5,3,3,1974,1999,7,0,5,2
68,1,4,7,18,31,57,2015年10月4日,4,61,61,34,1,,,,,,,,,,,1,1,1,1,,,,,,,,,,,1,1,1,2,,,,,,,,,,,2,1981,34,1,1,1,10,4,2002,-3,130,0,0,0,0,1,0,0,0,0,160,120,5,5,5,5,1,,9997,9996,3.5,3,7,5,4,3,1980,2014,10,-3,1,3
72,1,4,7,21,37,67,2015年9月28日,2,53,21,,,,,,,,,,,,,1,1,,,,,,,,,,,,,2,2,,,,,,,,,,,,,2,1964,51,1,1,1,9,4,1983,50000,80,0,0,1,0,0,0,0,0,0,171,150,3,3,2,5,2,,9997,9997,3.21,1,7,3,4,3,1962,1990,13,100000,1,2
73,1,4,7,17,30,54,2015年10月4日,2,46,15,,,,,,,,,,,,,1,1,,,,,,,,,,,,,2,2,,,,,,,,,,,,,2,1970,45,1,1,1,9,4,1992,50000,90,0,1,1,0,0,0,0,0,0,160,110,3,5,5,2,1,,2013,2008,3.36,4,5,3,4,3,1968,1998,9,50000,1,2
76,1,4,7,18,31,57,2015年10月4日,2,72,44,,,,,,,,,,,,,1,1,,,,,,,,,,,,,2,2,,,,,,,,,,,,,2,1942,73,1,1,1,4,4,-2,50000,42,0,0,1,0,0,0,0,0,0,155,140,2,2,4,5,1,,9997,9997,3.36,3,2,4,2,3,1940,1969,4,40000,5,2
77,1,4,7,15,27,51,2015年10月7日,3,49,48,24,,,,,,,,,,,,4,4,1,,,,,,,,,,,,1,1,2,,,,,,,,,,,,1,1990,25,1,1,1,6,4,2009,60000,50,0,0,0,0,0,0,0,0,1,178,146,5,4,4,1,3,2010,,2010,3.07,4,7,3,4,3,1991,2014,9,-3,1,3
78,1,4,7,18,31,56,2015年10月3日,3,47,30,28,,,,,,,,,,,,1,1,1,,,,,,,,,,,,1,1,1,,,,,,,,,,,,1,1962,53,1,1,1,3,4,-2,0,160,0,1,0,0,0,0,0,0,0,170,140,1,1,1,1,1,,9997,9997,4.14,1,4,3,2,3,1969,1984,3,0,4,3
82,1,4,7,21,36,64,2015年9月18日,3,63,35,1,,,,,,,,,,,,1,4,1,,,,,,,,,,,,2,2,2,,,,,,,,,,,,2,1985,30,1,1,2,13,4,2010,40000,54,0,1,1,0,0,0,0,0,0,158,88,4,4,3,2,1,,2013,2011,3.14,4,2,1,4,3,1980,2012,12,260000,1,3
84,1,4,7,20,34,61,2015年10月7日,1,63,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,1938,77,1,1,1,10,4,1985,32000,63,0,1,0,0,0,0,0,0,0,170,145,3,5,5,4,1,,1954,1954,3.07,4,5,5,5,4,1957,2008,6,20000,1,3
